BRNCH_NME,MonthNam,ProdGroup,TotalAccounts,EOPBalance,AvgMTLBalnce
TAMBARAM  CHENNAI,Oct 2017,SA,10,2517327,2218429.7332764
Varale,Sep 2017,SA,244,3231323.0025702,4102379.7509766
Varale,Oct 2017,SA,142,4505632.1982994,3231171.0576324
T. NAGAR  CHENNAI,May 2017,SA,28,959718,4559763.5562439
T. NAGAR  CHENNAI,Apr 2017,SA,13,7421582,5718298
THANE BRANCH,Feb 2017,SA,19,31410,96266.920410156
CHINCHWAD  PUNE BRANCH,May 2017,SA,78,3857194.5,3709999.7921143
CHINCHWAD  PUNE BRANCH,Apr 2017,SA,42,1542763,1990613
MHALUNGE BUS STOP  PUNE,May 2017,SA,9,107409.55859375,100919.77148438
MHALUNGE BUS STOP  PUNE,Apr 2017,SA,6,76888.55859375,76888.55859375
SADASHIV PETH   PUNE,Apr 2017,SA,28,492387,460107
SADASHIV PETH   PUNE,May 2017,SA,50,565346,518991.05715084
Varale,Aug 2017,SA,87,2287393.4498901,2021047.7737427
NEW PALASIA,Apr 2017,SA,4,400230,526230
Wadachiwadi,Jul 2017,SA,8,205053,59176.98046875
Varale,Jul 2017,SA,14,342177,204490.02099609
Alandi,Jul 2017,SA,5,0,0
KOTHRUD PUNE BRANCH,Jul 2017,CA,27,1242344.6098633,952150.53063965
KOTHRUD PUNE BRANCH,May 2017,CA,22,905065.44921875,718324.70922852
CHINCHWAD  PUNE BRANCH,Sep 2017,CA,216,16481422.913113,18993139.83515
KOTHRUD PUNE BRANCH,Jun 2017,CA,23,847826.95019531,801256.24121094
KOTHRUD PUNE BRANCH,Apr 2017,CA,22,722327.5,618577.5
CHINCHWAD  PUNE BRANCH,Oct 2017,CA,130,9971657.0550175,9416660.2818298
CHINCHWAD  PUNE BRANCH,Aug 2017,CA,82,6343205.9024658,7255428.0758209
KOTHRUD PUNE BRANCH,Sep 2017,CA,66,1840858.1818771,3339312.3922424
KOTHRUD PUNE BRANCH,Mar 2017,CA,40,1393655,696827.5
KOTHRUD PUNE BRANCH,Aug 2017,CA,26,1062015.4570313,1200891.1909332
KOTHRUD PUNE BRANCH,Oct 2017,CA,38,842876.34639883,1031758.4714813
KOTHRUD PUNE BRANCH,Feb 2017,CA,12,1500000,777711.79272461
PULLIYAKULAM ROAD   COIMBATORE,Sep 2017,CA,12,243646,259948.65917969
PULLIYAKULAM ROAD   COIMBATORE,Aug 2017,CA,2,99941,99979.0625
PULLIYAKULAM ROAD   COIMBATORE,Jul 2017,CA,2,100000,90598.990966797
PULLIYAKULAM ROAD   COIMBATORE,Oct 2017,CA,11,323882.84619141,191618.34107971
CBD BELAPUR,Sep 2017,CA,44,745674.39923096,1977939.2189941
