BRNCH_NME,ProdGroup,ChannelFlag,ModeofT,TxnType,AS_ON_DATE_YrMon,TxnValue,TxnCount
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA,ATMWithdOnUs,Branch,,Jul 2017,2700,2
NEW PALASIA,SA,ATMWithdOnUs,Branch,,Jul 2017,4800,3
SADASHIV PETH   PUNE,SA,ATMWithdOffUs,Branch,,Jul 2017,63500,21
SADASHIV PETH   PUNE,SA,POS,Digital,,Jul 2017,13093,10
THANE BRANCH,SA,ATMWithdOnUs,Branch,,Jul 2017,500,2
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA,ATMWithdOffUs,Branch,,Jul 2017,11900,6
MHALUNGE BUS STOP  PUNE,SA,POS,Digital,,Jul 2017,1590,7
MHALUNGE BUS STOP  PUNE,SA,ATMWithdOffUs,Branch,,Jul 2017,31700,15
MHALUNGE BUS STOP  PUNE,SA,ATMWithdOnUs,Branch,,Jul 2017,200,1
Wadachiwadi,SA,ATMWithdOnUs,Branch,,Oct 2017,3000,3
NAVRANGPURA  AHMEDABAD,SA,POS,Digital,,Jul 2017,229,2
THANE BRANCH,SA,POS,Digital,,Jun 2017,312.55,2
KOTHRUD PUNE BRANCH,SA,ATMWithdOffUs,Branch,,Jun 2017,2500,3
T. NAGAR  CHENNAI,SA,POS,Digital,,Jun 2017,1760.8,4
MHALUNGE BUS STOP  PUNE,SA,POS,Digital,,Jun 2017,1040,3
MHALUNGE BUS STOP  PUNE,SA,ATMWithdOnUs,Branch,,Jun 2017,500,1
T. NAGAR  CHENNAI,SA,ATMWithdOffUs,Branch,,Jun 2017,4000,3
PULLIYAKULAM ROAD   COIMBATORE,SA,ATMWithdOffUs,Branch,,Jun 2017,1500,2
T. NAGAR  CHENNAI,SA,ATMWithdOnUs,Branch,,Jun 2017,5000,1
CHINCHWAD  PUNE BRANCH,CA,POS,Digital,,Jul 2017,47248,23
MHALUNGE BUS STOP  PUNE,CA,ATMWithdOffUs,Branch,,Oct 2017,59000,19
MHALUNGE BUS STOP  PUNE,CA,POS,Digital,,Oct 2017,64173.64,38
Varale,CA,POS,Digital,,Oct 2017,13216,25
KOTHRUD PUNE BRANCH,CA,ATMWithdOffUs,Branch,,Jul 2017,33000,6
MHALUNGE BUS STOP  PUNE,CA,ATMWithdOnUs,Branch,,Oct 2017,5000,1
KOTHRUD PUNE BRANCH,CA,ATMWithdOnUs,Branch,,Sep 2017,7300,4
PULLIYAKULAM ROAD   COIMBATORE,CA,ATMWithdOnUs,Branch,,Oct 2017,20100,2
PULLIYAKULAM ROAD   COIMBATORE,CA,ATMWithdOffUs,Branch,,Oct 2017,83000,17
CHINCHWAD  PUNE BRANCH,CA,POS,Digital,,Oct 2017,134149.5,96
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,CA,ATMWithdOnUs,Branch,,Sep 2017,0,4
Wadachiwadi,CA,ATMWithdOffUs,Branch,,Sep 2017,67200,23
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,CA,ATMWithdOffUs,Branch,,Oct 2017,32000,4
CHINCHWAD  PUNE BRANCH,CA,ATMWithdOffUs,Branch,,Oct 2017,862100,199
CHINCHWAD  PUNE BRANCH,CA,ATMWithdOffUs,Branch,,Jul 2017,163500,31
KOTHRUD PUNE BRANCH,CA,POS,Digital,,Jul 2017,18363.54,6
NEW PALASIA,CA,ATMWithdOnUs,Branch,,Oct 2017,5000,1
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,CA,ATMWithdOffUs,Branch,,Sep 2017,1500,3
CBD BELAPUR,CA,ATMWithdOffUs,Branch,,Oct 2017,11900,8
CHINCHWAD  PUNE BRANCH,CA,ATMWithdOnUs,Branch,,Jul 2017,42600,8
Wadachiwadi,CA,POS,Digital,,Oct 2017,49162,23
CHINCHWAD  PUNE BRANCH,CA,ATMWithdOnUs,Branch,,Oct 2017,257000,26
Wadachiwadi,CA,ATMWithdOffUs,Branch,,Oct 2017,104700,36
CHINCHWAD  PUNE BRANCH,CA,POS,Digital,,Sep 2017,47627.54,58
KOTHRUD PUNE BRANCH,CA,ATMWithdOnUs,Branch,,Oct 2017,21000,11
MHALUNGE BUS STOP  PUNE,CA,POS,Digital,,Sep 2017,6308.46,6
CHINCHWAD  PUNE BRANCH,CA,ATMWithdOnUs,Branch,,Sep 2017,78000,28
CHINCHWAD  PUNE BRANCH,CA,ATMWithdOffUs,Branch,,Sep 2017,654100,136
MHALUNGE BUS STOP  PUNE,CA,ATMWithdOnUs,Branch,,Sep 2017,1000,1
KOTHRUD PUNE BRANCH,CA,ATMWithdOffUs,Branch,,Oct 2017,54700,29
NEW PALASIA,CA,ATMWithdOffUs,Branch,,Oct 2017,9500,3
Varale,CA,ATMWithdOffUs,Branch,,Oct 2017,183400,55
CBD BELAPUR,CA,POS,Digital,,Oct 2017,21991,15
CBD BELAPUR,CA,ATMWithdOffUs,Branch,,Sep 2017,192900,28
THANE BRANCH,CA,POS,Digital,,Sep 2017,3102.6,2
THANE BRANCH,CA,ATMWithdOffUs,Branch,,Sep 2017,20900,5
NAVRANGPURA  AHMEDABAD,CA,ATMWithdOnUs,Branch,,Sep 2017,21000,7
KOTHRUD PUNE BRANCH,CA,ATMWithdOffUs,Branch,,Sep 2017,34700,23
KOTHRUD PUNE BRANCH,CA,POS,Digital,,Sep 2017,3165,7
Wadachiwadi,CA,POS,Digital,,Sep 2017,1359.54,6
Wadachiwadi,CA,ATMWithdOnUs,Branch,,Sep 2017,7000,1
Varale,CA,ATMWithdOffUs,Branch,,Sep 2017,100200,20
Varale,CA,POS,Digital,,Sep 2017,15465.76,16
CBD BELAPUR,CA,POS,Digital,,Sep 2017,4632.08,7
NAVRANGPURA  AHMEDABAD,CA,POS,Digital,,Sep 2017,6300,6
NAVRANGPURA  AHMEDABAD,CA,ATMWithdOffUs,Branch,,Sep 2017,64800,13
CBD BELAPUR,CA,ATMWithdOnUs,Branch,,Sep 2017,900,1
SADASHIV PETH   PUNE,CA,ATMWithdOffUs,Branch,,Oct 2017,4000,6
CHEMBUR BRANCH,CA,ATMWithdOffUs,Branch,,Sep 2017,40000,18
CHEMBUR BRANCH,CA,POS,Digital,,Sep 2017,3500,1
SADASHIV PETH   PUNE,CA,POS,Digital,,Oct 2017,2389,4
KOTHRUD PUNE BRANCH,CA,ATMWithdOnUs,Branch,,Jul 2017,3500,2
KOTHRUD PUNE BRANCH,CA,POS,Digital,,Aug 2017,25732.71,11
KOTHRUD PUNE BRANCH,CA,ATMWithdOnUs,Branch,,Aug 2017,18800,16
KOTHRUD PUNE BRANCH,CA,ATMWithdOffUs,Branch,,Aug 2017,51100,26
CHINCHWAD  PUNE BRANCH,CA,ATMWithdOnUs,Branch,,Aug 2017,70200,26
CHEMBUR BRANCH,CA,ATMWithdOffUs,Branch,,Aug 2017,1000,1
CHINCHWAD  PUNE BRANCH,CA,ATMWithdOffUs,Branch,,Aug 2017,386900,76
CBD BELAPUR,CA,ATMWithdOffUs,Branch,,Aug 2017,27500,4
CHINCHWAD  PUNE BRANCH,CA,POS,Digital,,Aug 2017,16341.18,32
PULLIYAKULAM ROAD   COIMBATORE,CA,POS,Digital,,Jul 2017,1184,1
PULLIYAKULAM ROAD   COIMBATORE,CA,ATMWithdOffUs,Branch,,Jul 2017,3200,4
CBD BELAPUR,CA,POS,Digital,,Aug 2017,100,1
THANE BRANCH,CA,POS,Digital,,Oct 2017,5496.32,7
THANE BRANCH,CA,ATMWithdOffUs,Branch,,Oct 2017,13100,6
CHINCHWAD  PUNE BRANCH,CA,ATMWithdOffUs,Branch,,Jun 2017,121000,23
KOTHRUD PUNE BRANCH,CA,ATMWithdOffUs,Branch,,Jun 2017,32000,5
CHINCHWAD  PUNE BRANCH,CA,POS,Digital,,Jun 2017,47956.18,14
CHINCHWAD  PUNE BRANCH,CA,ATMWithdOnUs,Branch,,Jun 2017,5600,3
KOTHRUD PUNE BRANCH,CA,ATMWithdOnUs,Branch,,Jun 2017,300,2
CHEMBUR BRANCH,CA,ATMWithdOffUs,Branch,,Oct 2017,13300,9
KOTHRUD PUNE BRANCH,CA,POS,Digital,,Oct 2017,8388,17
Alandi,CA,POS,Digital,,Oct 2017,2385,5
Alandi,CA,ATMWithdOffUs,Branch,,Oct 2017,2000,4
PULLIYAKULAM ROAD   COIMBATORE,CA,POS,Digital,,Oct 2017,613.28,4
CBD BELAPUR,CA,ATMWithdOnUs,Branch,,Oct 2017,5000,2
Wadachiwadi,CA,POS,Digital,,Aug 2017,920,3
CBD BELAPUR,CA,ATMWithdOnUs,Branch,,Jul 2017,500,1
NAVRANGPURA  AHMEDABAD,CA,ATMWithdOffUs,Branch,,Oct 2017,17400,5
PULLIYAKULAM ROAD   COIMBATORE,CA,ATMWithdOnUs,Branch,,Sep 2017,10100,2
SADASHIV PETH   PUNE,CA,ATMWithdOffUs,Branch,,Sep 2017,15100,5
NAVRANGPURA  AHMEDABAD,CA,ATMWithdOnUs,Branch,,Oct 2017,34000,3
SADASHIV PETH   PUNE,CA,POS,Digital,,Sep 2017,255,1
KAMRAJ NAGAR  PUDUCHERRY,CA,POS,Digital,,Oct 2017,13184,1
Wadachiwadi,CA,ATMWithdOffUs,Branch,,Aug 2017,28800,13
CHEMBUR BRANCH,CA,POS,Digital,,Oct 2017,4980,1
PULLIYAKULAM ROAD   COIMBATORE,CA,ATMWithdOffUs,Branch,,Sep 2017,2000,1
NAVRANGPURA  AHMEDABAD,SA,InwardCheque,Branch,,Jul 2017,15420,2
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA,CashWithd,Branch,,Aug 2017,101600,6
NAVRANGPURA  AHMEDABAD,SA,CashWithd,Branch,,Sep 2017,156500,8
MHALUNGE BUS STOP  PUNE,SA,InwardCheque,Branch,,Aug 2017,71110,4
CBD BELAPUR,SA,InwardCheque,Branch,,Sep 2017,1366487,45
CBD BELAPUR,SA,CashWithd,Branch,,Jun 2017,522500,9
CHEMBUR BRANCH,SA,InwardCheque,Branch,,Aug 2017,2422580,13
CHEMBUR BRANCH,SA,InwardCheque,Branch,,Jul 2017,3301862,17
Alandi,SA,InwardCheque,Branch,,Sep 2017,355535,11
Varale,SA,CashWithd,Branch,,Aug 2017,484000,15
CHINCHWAD  PUNE BRANCH,SA,CashWithd,Branch,,Jun 2017,499500,16
THANE BRANCH,SA,CashWithd,Branch,,Jun 2017,115888,11
CBD BELAPUR,SA,InwardCheque,Branch,,Jun 2017,784268,19
Alandi,SA,CashWithd,Branch,,Aug 2017,430500,11
SADASHIV PETH   PUNE,SA,CashWithd,Branch,,Aug 2017,15500,4
KOTHRUD PUNE BRANCH,SA,CashWithd,Branch,,Jun 2017,160200,13
CBD BELAPUR,SA,InwardCheque,Branch,,Aug 2017,1205782,37
CHINCHWAD  PUNE BRANCH,SA,CashWithd,Branch,,Jul 2017,656600,22
SADASHIV PETH   PUNE,SA,InwardCheque,Branch,,Aug 2017,397101,10
THANE BRANCH,SA,InwardCheque,Branch,,Aug 2017,259792,8
CHEMBUR BRANCH,SA,InwardCheque,Branch,,Sep 2017,742111,12
THANE BRANCH,SA,CashWithd,Branch,,Jul 2017,78500,6
CHEMBUR BRANCH,SA,CashWithd,Branch,,Jul 2017,69200,6
SADASHIV PETH   PUNE,SA,CashWithd,Branch,,Jul 2017,40000,2
CBD BELAPUR,SA,CashWithd,Branch,,Jul 2017,72400,7
CBD BELAPUR,SA,CashWithd,Branch,,Sep 2017,540900,21
KOTHRUD PUNE BRANCH,SA,InwardCheque,Branch,,Jun 2017,454881,23
KOTHRUD PUNE BRANCH,SA,CashWithd,Branch,,Jul 2017,198000,14
CBD BELAPUR,SA,CashWithd,Branch,,Aug 2017,346800,10
MHALUNGE BUS STOP  PUNE,SA,CashWithd,Branch,,Jun 2017,9000,1
CHINCHWAD  PUNE BRANCH,SA,InwardCheque,Branch,,Sep 2017,942784,28
CHINCHWAD  PUNE BRANCH,SA,InwardCheque,Branch,,Jul 2017,388278,20
SADASHIV PETH   PUNE,SA,InwardCheque,Branch,,Jun 2017,60085,8
PULLIYAKULAM ROAD   COIMBATORE,SA,CashWithd,Branch,,Jul 2017,45500,4
Varale,SA,InwardCheque,Branch,,Aug 2017,182428,18
PULLIYAKULAM ROAD   COIMBATORE,SA,InwardCheque,Branch,,Jul 2017,285000,2
NAVRANGPURA  AHMEDABAD,SA,CashWithd,Branch,,Jul 2017,19500,2
CHINCHWAD  PUNE BRANCH,SA,InwardCheque,Branch,,Aug 2017,466377.3,10
CHINCHWAD  PUNE BRANCH,SA,CashWithd,Branch,,Sep 2017,673100,23
CHINCHWAD  PUNE BRANCH,SA,CashWithd,Branch,,Aug 2017,569500,11
CBD BELAPUR,SA,InwardCheque,Branch,,Jul 2017,1.365978e+07,22
KAMRAJ NAGAR  PUDUCHERRY,SA,InwardCheque,Branch,,Jul 2017,31975,2
NEW PALASIA,SA,CashWithd,Branch,,Sep 2017,260500,4
PULLIYAKULAM ROAD   COIMBATORE,SA,InwardCheque,Branch,,Sep 2017,2949502,14
Varale,SA,CashWithd,Branch,,Sep 2017,601500,13
CHINCHWAD  PUNE BRANCH,SA,InwardCheque,Branch,,Jun 2017,402230,10
Wadachiwadi,SA,CashWithd,Branch,,Aug 2017,43800,3
T. NAGAR  CHENNAI,SA,InwardCheque,Branch,,Aug 2017,9500,2
NEW PALASIA,SA,InwardCheque,Branch,,Sep 2017,39733,5
KOTHRUD PUNE BRANCH,SA,CashWithd,Branch,,Sep 2017,65400,11
T. NAGAR  CHENNAI,SA,CashWithd,Branch,,Aug 2017,125500,4
T. NAGAR  CHENNAI,SA,CashWithd,Branch,,Jul 2017,30900,5
NEW PALASIA,SA,InwardCheque,Branch,,Jun 2017,50000,1
KOTHRUD PUNE BRANCH,SA,InwardCheque,Branch,,Jul 2017,292982,22
CHEMBUR BRANCH,SA,CashWithd,Branch,,Jun 2017,79000,5
PULLIYAKULAM ROAD   COIMBATORE,SA,InwardCheque,Branch,,Jun 2017,1330000,4
SADASHIV PETH   PUNE,SA,InwardCheque,Branch,,Jul 2017,174547,6
T. NAGAR  CHENNAI,SA,InwardCheque,Branch,,Jul 2017,32500,3
PULLIYAKULAM ROAD   COIMBATORE,SA,CashWithd,Branch,,Jun 2017,741800,10
KOTHRUD PUNE BRANCH,SA,CashWithd,Branch,,Aug 2017,473400,12
NAVRANGPURA  AHMEDABAD,SA,InwardCheque,Branch,,Aug 2017,2706024,11
KAMRAJ NAGAR  PUDUCHERRY,SA,CashWithd,Branch,,Jun 2017,9000,3
CHEMBUR BRANCH,SA,InwardCheque,Branch,,Jun 2017,297907,10
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA,InwardCheque,Branch,,Aug 2017,659500,7
KOTHRUD PUNE BRANCH,SA,InwardCheque,Branch,,Aug 2017,614501,20
NEW PALASIA,SA,InwardCheque,Branch,,Jul 2017,57500,3
PULLIYAKULAM ROAD   COIMBATORE,SA,CashWithd,Branch,,Aug 2017,186000,5
NAVRANGPURA  AHMEDABAD,SA,CashWithd,Branch,,Aug 2017,54500,3
THANE BRANCH,SA,CashWithd,Branch,,Aug 2017,24000,4
MHALUNGE BUS STOP  PUNE,SA,InwardCheque,Branch,,Jul 2017,30000,2
KAMRAJ NAGAR  PUDUCHERRY,SA,InwardCheque,Branch,,Aug 2017,113057,4
THANE BRANCH,SA,InwardCheque,Branch,,Jul 2017,552467,9
CHEMBUR BRANCH,SA,CashWithd,Branch,,Aug 2017,30000,1
CHEMBUR BRANCH,SA,CashWithd,Branch,,Sep 2017,107350,6
KAMRAJ NAGAR  PUDUCHERRY,SA,CashWithd,Branch,,Aug 2017,10000,1
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA,CashWithd,Branch,,Jul 2017,167000,2
KAMRAJ NAGAR  PUDUCHERRY,SA,CashWithd,Branch,,Sep 2017,107809,4
Alandi,SA,InwardCheque,Branch,,Aug 2017,543541,6
NAVRANGPURA  AHMEDABAD,SA,InwardCheque,Branch,,Sep 2017,5464565,16
NAVRANGPURA  AHMEDABAD,SA,CashWithd,Branch,,Jun 2017,9500,3
PULLIYAKULAM ROAD   COIMBATORE,SA,InwardCheque,Branch,,Aug 2017,220000,2
Wadachiwadi,SA,CashWithd,Branch,,Sep 2017,88000,3
T. NAGAR  CHENNAI,SA,InwardCheque,Branch,,Jun 2017,200000,1
NEW PALASIA,SA,InwardCheque,Branch,,Aug 2017,85000,3
T. NAGAR  CHENNAI,SA,CashWithd,Branch,,Jun 2017,10900,3
NEW PALASIA,SA,CashWithd,Branch,,Jun 2017,3000,1
THANE BRANCH,SA,InwardCheque,Branch,,Sep 2017,204142,12
Wadachiwadi,SA,InwardCheque,Branch,,Aug 2017,4554,1
THANE BRANCH,SA,InwardCheque,Branch,,Jun 2017,116805,6
THANE BRANCH,SA,CashWithd,Branch,,Sep 2017,88000,5
NEW PALASIA,SA,CashWithd,Branch,,Jul 2017,4350,1
Alandi,SA,CashWithd,Branch,,Sep 2017,816500,11
CHINCHWAD  PUNE BRANCH,SA,CashWithd,Branch,,Oct 2017,1279800,35
CBD BELAPUR,SA,InwardCheque,Branch,,Oct 2017,956111,40
CHINCHWAD  PUNE BRANCH,SA,InwardCheque,Branch,,Oct 2017,1446179,38
KOTHRUD PUNE BRANCH,SA,InwardCheque,Branch,,Sep 2017,318814,31
THANE BRANCH,SA,InwardCheque,Branch,,Oct 2017,115427,6
NAVRANGPURA  AHMEDABAD,SA,InwardCheque,Branch,,Oct 2017,1259961,14
Wadachiwadi,SA,InwardCheque,Branch,,Sep 2017,104679,10
CHEMBUR BRANCH,SA,InwardCheque,Branch,,Oct 2017,3205393,13
KOTHRUD PUNE BRANCH,SA,CashWithd,Branch,,Oct 2017,1152356,15
Wadachiwadi,SA,CashWithd,Branch,,Oct 2017,74900,10
T. NAGAR  CHENNAI,SA,InwardCheque,Branch,,Oct 2017,421066,16
Varale,SA,InwardCheque,Branch,,Oct 2017,91806,14
KOTHRUD PUNE BRANCH,SA,InwardCheque,Branch,,Oct 2017,326719,26
T. NAGAR  CHENNAI,SA,CashWithd,Branch,,Oct 2017,127000,4
NAVRANGPURA  AHMEDABAD,SA,CashWithd,Branch,,Oct 2017,1192500,11
MHALUNGE BUS STOP  PUNE,SA,CashWithd,Branch,,Sep 2017,57000,3
Alandi,SA,InwardCheque,Branch,,Oct 2017,584896,9
Varale,SA,CashWithd,Branch,,Oct 2017,442000,16
KAMRAJ NAGAR  PUDUCHERRY,SA,InwardCheque,Branch,,Sep 2017,68000,2
THANE BRANCH,SA,CashWithd,Branch,,Oct 2017,65000,7
SADASHIV PETH   PUNE,SA,InwardCheque,Branch,,Oct 2017,282871,5
Alandi,SA,CashWithd,Branch,,Oct 2017,945000,15
T. NAGAR  CHENNAI,SA,InwardCheque,Branch,,Sep 2017,197700,5
Varale,SA,InwardCheque,Branch,,Sep 2017,764544,15
T. NAGAR  CHENNAI,SA,CashWithd,Branch,,Sep 2017,26000,3
SADASHIV PETH   PUNE,SA,CashWithd,Branch,,Sep 2017,24700,4
NEW PALASIA,SA,InwardCheque,Branch,,Oct 2017,136171,15
NEW PALASIA,SA,CashWithd,Branch,,Oct 2017,72000,6
CBD BELAPUR,SA,CashWithd,Branch,,Oct 2017,371500,13
Wadachiwadi,SA,InwardCheque,Branch,,Oct 2017,86923,15
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA,CashWithd,Branch,,Oct 2017,500000,1
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA,InwardCheque,Branch,,Oct 2017,25800,3
MHALUNGE BUS STOP  PUNE,SA,CashWithd,Branch,,Oct 2017,16000,2
PULLIYAKULAM ROAD   COIMBATORE,SA,CashWithd,Branch,,Oct 2017,102500,5
CHEMBUR BRANCH,SA,CashWithd,Branch,,Oct 2017,25300,3
SADASHIV PETH   PUNE,SA,InwardCheque,Branch,,Sep 2017,100950,3
KAMRAJ NAGAR  PUDUCHERRY,SA,CashWithd,Branch,,Oct 2017,500000,4
KAMRAJ NAGAR  PUDUCHERRY,SA,InwardCheque,Branch,,Oct 2017,25000,1
MHALUNGE BUS STOP  PUNE,SA,InwardCheque,Branch,,Oct 2017,1213,1
SADASHIV PETH   PUNE,SA,CashWithd,Branch,,Oct 2017,36900,5
PULLIYAKULAM ROAD   COIMBATORE,SA,InwardCheque,Branch,,Oct 2017,78535,9
NERUL BRANCH,SA,InwardCheque,Branch,,Oct 2017,85528,1
PULLIYAKULAM ROAD   COIMBATORE,SA,CashWithd,Branch,,Sep 2017,755000,5
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA,InwardCheque,Branch,,Sep 2017,37500,3
NAVRANGPURA  AHMEDABAD,CA,InwardCheque,Branch,,Sep 2017,16270,4
CHINCHWAD  PUNE BRANCH,CA,InwardCheque,Branch,,Oct 2017,1.898324e+07,298
CHINCHWAD  PUNE BRANCH,CA,CashWithd,Branch,,Jun 2017,521500,11
CHINCHWAD  PUNE BRANCH,CA,InwardCheque,Branch,,Jun 2017,444904,12
Varale,CA,CashWithd,Branch,,Sep 2017,106355,11
CHINCHWAD  PUNE BRANCH,CA,InwardCheque,Branch,,Jul 2017,2204241,61
CHEMBUR BRANCH,CA,InwardCheque,Branch,,Jun 2017,513658,35
CHINCHWAD  PUNE BRANCH,CA,CashWithd,Branch,,Sep 2017,1097213,35
KOTHRUD PUNE BRANCH,CA,InwardCheque,Branch,,Jun 2017,113540,15
Wadachiwadi,CA,CashWithd,Branch,,Aug 2017,22000,3
CHINCHWAD  PUNE BRANCH,CA,InwardCheque,Branch,,Aug 2017,3694118,115
Wadachiwadi,CA,InwardCheque,Branch,,Aug 2017,25120,7
CHEMBUR BRANCH,CA,InwardCheque,Branch,,Jul 2017,1602630,43
SADASHIV PETH   PUNE,CA,InwardCheque,Branch,,Aug 2017,87892,5
CHINCHWAD  PUNE BRANCH,CA,CashWithd,Branch,,Oct 2017,3733433,71
CHINCHWAD  PUNE BRANCH,CA,CashWithd,Branch,,Aug 2017,457500,12
CHINCHWAD  PUNE BRANCH,CA,InwardCheque,Branch,,Sep 2017,9747241,186
KOTHRUD PUNE BRANCH,CA,CashWithd,Branch,,Jun 2017,175400,5
KOTHRUD PUNE BRANCH,CA,InwardCheque,Branch,,Aug 2017,547956,43
Varale,CA,CashWithd,Branch,,Oct 2017,99671,9
CHEMBUR BRANCH,CA,InwardCheque,Branch,,Aug 2017,414133,42
SADASHIV PETH   PUNE,CA,InwardCheque,Branch,,Jun 2017,71000,1
KOTHRUD PUNE BRANCH,CA,InwardCheque,Branch,,Jul 2017,429258,25
MHALUNGE BUS STOP  PUNE,CA,CashWithd,Branch,,Aug 2017,52000,6
MHALUNGE BUS STOP  PUNE,CA,InwardCheque,Branch,,Aug 2017,10427,3
CBD BELAPUR,CA,CashWithd,Branch,,Aug 2017,55000,2
SADASHIV PETH   PUNE,CA,InwardCheque,Branch,,Sep 2017,20883,2
CBD BELAPUR,CA,InwardCheque,Branch,,Sep 2017,1564762,14
CBD BELAPUR,CA,CashWithd,Branch,,Sep 2017,627500,10
CHEMBUR BRANCH,CA,CashWithd,Branch,,Oct 2017,9000,1
CHINCHWAD  PUNE BRANCH,CA,CashWithd,Branch,,Jul 2017,26900,4
KOTHRUD PUNE BRANCH,CA,InwardCheque,Branch,,Oct 2017,1162949,63
CBD BELAPUR,CA,InwardCheque,Branch,,Oct 2017,193555,12
MHALUNGE BUS STOP  PUNE,CA,InwardCheque,Branch,,Jul 2017,5801,1
SADASHIV PETH   PUNE,CA,CashWithd,Branch,,Oct 2017,10000,1
NAVRANGPURA  AHMEDABAD,CA,CashWithd,Branch,,Oct 2017,482500,8
NAVRANGPURA  AHMEDABAD,CA,InwardCheque,Branch,,Oct 2017,576552,18
Wadachiwadi,CA,InwardCheque,Branch,,Oct 2017,94039,17
Wadachiwadi,CA,CashWithd,Branch,,Oct 2017,303000,3
CHEMBUR BRANCH,CA,CashWithd,Branch,,Jul 2017,16000,1
KOTHRUD PUNE BRANCH,CA,CashWithd,Branch,,Jul 2017,62500,4
KOTHRUD PUNE BRANCH,CA,CashWithd,Branch,,Oct 2017,19500,3
PULLIYAKULAM ROAD   COIMBATORE,CA,CashWithd,Branch,,Oct 2017,152000,3
PULLIYAKULAM ROAD   COIMBATORE,CA,InwardCheque,Branch,,Oct 2017,2284,1
CBD BELAPUR,CA,CashWithd,Branch,,Oct 2017,365000,12
MHALUNGE BUS STOP  PUNE,CA,CashWithd,Branch,,Oct 2017,29000,2
NAVRANGPURA  AHMEDABAD,CA,CashWithd,Branch,,Jul 2017,50000,1
KOTHRUD PUNE BRANCH,CA,InwardCheque,Branch,,Sep 2017,846903,39
CHEMBUR BRANCH,CA,InwardCheque,Branch,,Oct 2017,691993,77
MHALUNGE BUS STOP  PUNE,CA,InwardCheque,Branch,,Oct 2017,10499,2
CHEMBUR BRANCH,CA,CashWithd,Branch,,Jun 2017,197000,5
Varale,CA,InwardCheque,Branch,,Oct 2017,262262,16
THANE BRANCH,CA,InwardCheque,Branch,,Oct 2017,31182,6
PULLIYAKULAM ROAD   COIMBATORE,CA,CashWithd,Branch,,Jul 2017,10000,1
PULLIYAKULAM ROAD   COIMBATORE,CA,InwardCheque,Branch,,Jul 2017,40000,4
CBD BELAPUR,CA,CashWithd,Branch,,Jul 2017,3000,1
NAVRANGPURA  AHMEDABAD,CA,CashWithd,Branch,,Sep 2017,47200,2
T. NAGAR  CHENNAI,CA,InwardCheque,Branch,,Oct 2017,2910,1
Wadachiwadi,CA,InwardCheque,Branch,,Sep 2017,215180,15
CHEMBUR BRANCH,CA,CashWithd,Branch,,Sep 2017,24000,2
MHALUNGE BUS STOP  PUNE,CA,CashWithd,Branch,,Sep 2017,104000,6
CHEMBUR BRANCH,CA,InwardCheque,Branch,,Sep 2017,815309,62
T. NAGAR  CHENNAI,CA,InwardCheque,Branch,,Sep 2017,10000,2
MHALUNGE BUS STOP  PUNE,CA,InwardCheque,Branch,,Sep 2017,55476,8
Wadachiwadi,CA,CashWithd,Branch,,Sep 2017,11000,2
Varale,CA,InwardCheque,Branch,,Sep 2017,192392,19
T. NAGAR  CHENNAI,CA,CashWithd,Branch,,Sep 2017,107000,2
THANE BRANCH,CA,CashWithd,Branch,,Sep 2017,9000,2
THANE BRANCH,CA,InwardCheque,Branch,,Sep 2017,3300,1
PULLIYAKULAM ROAD   COIMBATORE,CA,InwardCheque,Branch,,Sep 2017,8000,1
KOTHRUD PUNE BRANCH,CA,CashWithd,Branch,,Sep 2017,95000,2
THANE BRANCH,CA,CashWithd,Branch,,Oct 2017,7000,1
Varale,CA,CashWithd,Branch,,Aug 2017,22000,3
Varale,CA,InwardCheque,Branch,,Aug 2017,40000,1
PULLIYAKULAM ROAD   COIMBATORE,CA,CashWithd,Branch,,Sep 2017,5000,1
KOTHRUD PUNE BRANCH,SA,OutwardCheque,Branch,,Sep 2017,7044152,63
THANE BRANCH,SA,OutwardCheque,Branch,,Jun 2017,4800455,27
NAVRANGPURA  AHMEDABAD,SA,OutwardCheque,Branch,,Oct 2017,5187562,60
CBD BELAPUR,SA,OutwardCheque,Branch,,Oct 2017,4897147,41
THANE BRANCH,SA,OutwardCheque,Branch,,Sep 2017,5569424,37
CBD BELAPUR,SA,OutwardCheque,Branch,,Sep 2017,2346250,55
NAVRANGPURA  AHMEDABAD,SA,OutwardCheque,Branch,,Aug 2017,6268568,67
TAMBARAM  CHENNAI,SA,OutwardCheque,Branch,,Oct 2017,1064500,10
NAVRANGPURA  AHMEDABAD,SA,OutwardCheque,Branch,,Sep 2017,1.437333e+07,81
CBD BELAPUR,SA,OutwardCheque,Branch,,Jun 2017,24863802,53
